"","Coord: 1","Coord: 2","Coord: 3","Coord: 4","Coord: 5","Ctr: 1","Ctr: 2","Ctr: 3","Ctr: 4","Ctr: 5","Cor: 1","Cor: 2","Cor: 3","Cor: 4","Cor: 5"
"spielb: 1",-0.07,-0.29,0.03,0.04,-0.07,1,13,0,0,1,0.4,6.4,0,0.1,0.4
"spielb: 2",-0.25,-0.05,0.01,-0.01,0.05,6,0,0,0,1,4,0.2,0,0,0.2
"spielb: 3",0.32,0.78,-0.44,-0.31,-0.29,3,29,12,7,6,1.6,9.5,3.1,1.6,1.3
"spielb: 4",2.03,0.92,1.18,0.58,1.41,40,12,25,6,40,17.1,3.5,5.7,1.4,8.2
"spielb: 9",1.11,0.87,0.11,1.57,-1.61,1,1,0,5,5,0.5,0.3,0,0.9,1
"hitchc: 1",-0.1,0.29,-0.02,0,-0.19,1,10,0,0,6,0.6,4.3,0,0,1.9
"hitchc: 2",-0.21,-0.05,-0.07,-0.06,0.14,4,0,1,1,4,2.6,0.2,0.3,0.2,1.2
"hitchc: 3",0.19,-0.32,-0.1,-0.03,-0.19,2,8,1,0,4,1.1,3.1,0.3,0,1.1
"hitchc: 4",1.94,-0.1,1.63,0.82,1.63,33,0,44,12,48,14,0,9.9,2.5,9.9
"hitchc: 9",0.83,-1.47,0.31,-0.43,-0.2,0,0,0,0,0,0,0.1,0,0,0
"bergman: 1",-0.58,1.08,0.58,-0.25,-0.25,6,30,11,2,2,2.7,9,2.7,0.5,0.5
"bergman: 2",-0.59,0.27,-0.11,0.04,0.25,21,6,1,0,8,11.2,2.4,0.4,0.1,2
"bergman: 3",-0.26,-0.14,-0.29,-0.14,-0.15,4,2,10,3,3,2.4,0.7,3.1,0.7,0.8
"bergman: 4",0.61,-0.25,0.15,0.11,0,38,10,4,2,0,26.5,4.6,1.6,0.8,0
"bergman: 9",-0.05,-0.33,-0.21,-0.24,-0.43,0,0,0,0,0,0,0.1,0,0,0.1
"campion: 1",-1.42,0.93,1.95,-0.68,-0.04,12,8,43,5,0,5,2.2,9.5,1.2,0
"campion: 2",-1.16,-0.04,0.26,0.3,0.71,23,0,2,3,18,10.2,0,0.5,0.7,3.8
"campion: 3",-0.58,-0.18,-0.27,-0.27,0.06,6,1,3,3,0,2.7,0.2,0.6,0.6,0
"campion: 4",0.19,-0.01,-0.05,0.02,-0.06,8,0,1,0,2,17.9,0.1,1.4,0.2,2
"campion: 9",-0.08,1.25,-0.31,-0.66,-0.37,0,1,0,0,0,0,0.3,0,0.1,0
"potter: 1",-0.54,-0.3,0.25,0.28,0.51,14,7,6,8,27,7.4,2.3,1.6,2,6.7
"potter: 2",-0.15,-0.36,0.11,0.37,-0.16,1,7,1,10,2,0.4,2.2,0.2,2.3,0.4
"potter: 3",0.13,0.13,-0.13,-0.19,-0.17,3,4,5,11,9,2.9,2.9,2.9,5.8,4.8
"potter: 4",1.37,0.88,0.47,0.18,0.73,16,9,4,1,9,6.7,2.8,0.8,0.1,1.9
"potter: 9",1.02,0.29,0.34,0.43,0.45,0,0,0,0,0,0.1,0,0,0,0
"pride: 1",-0.56,0.41,0.05,0.14,0.13,30,24,0,4,3,20.7,11,0.2,1.4,1.1
"pride: 2",-0.04,-0.35,0.1,0.13,0.14,0,4,0,1,1,0,1.3,0.1,0.2,0.2
"pride: 3",0.26,-0.33,-0.23,-0.24,-0.3,7,18,10,12,21,5.3,8.8,4.1,4.5,7.4
"pride: 4",1.75,0.27,1.12,0.56,1.12,48,2,37,10,40,20.9,0.5,8.5,2.2,8.5
"solace: 1",-0.17,0.39,-0.11,0.54,-0.38,1,4,0,12,6,0.3,1.4,0.1,2.6,1.3
"solace: 2",-0.08,0.1,-0.12,0.16,-0.21,0,0,1,1,2,0.1,0.1,0.1,0.2,0.4
"solace: 3",-0.42,-0.03,-0.04,-0.19,0.01,16,0,0,6,0,10.2,0.1,0.1,2.1,0
"solace: 4",0.37,-0.06,0.07,0.03,0.09,16,1,1,0,2,12.3,0.3,0.5,0.1,0.8
"solace: 9",-0.61,0.42,1.19,-0.99,-0.26,0,0,0,0,0,0,0,0.1,0.1,0
"cagebird: 1",-1.1,0.21,0.66,0.39,1,12,1,8,3,20,5,0.2,1.8,0.6,4.1
"cagebird: 2",-1.08,0.68,0.83,0.37,0.74,12,7,13,3,12,5.1,2.1,3,0.6,2.4
"cagebird: 3",-0.58,-0.09,-0.28,-0.26,0,10,0,4,4,0,4.7,0.1,1.1,0.9,0
"cagebird: 4",0.2,-0.03,-0.06,0.01,-0.08,8,0,1,0,2,16.3,0.5,1.2,0.1,2.2
"cagebird: 9",-3.39,3.1,28.63,-16.73,-18.03,2,2,241,87,105,0.7,0.6,52.5,17.9,20.8
